Category,Synonyms
women,"여성, 여자, 여, 숙녀, 여인, 여인네, 여자, 부드러운, 공감, 동정, 아름다운"
men,"남자, 남성, 남, 용기, 영웅, 용기, 기사도, 용맹, 대담, 대담한, 남성, 남성, 남자다운, 남자, 강력한, 튼튼한, 강한, 강력한, 근육, 달아서, 활발한, 충실한, 사나이, 정다운, 정성, 따뜻한, 친절한, 용기 있는, 용감한, 대담, 충실한, 결정, 용맹한, 단호한, 의지가 굳고 강한, 용감한, 기사, 남성, 왕성한, 신사,, 젊은이,남성, 청소년, 동료, 신사, 사나이"
Accords_citrus,"탑, 레몬, 자몽, 유자, 만다린, 상큼한, 상큼, 청량, 청량한, 시원, 시원한, 산뜻한, 신선한, 달콤한, 맑은, 가벼운, 활기찬, 쌉싸름한, 귤, 상큼, 감귤, 시큼, 시큼달큼, ,새콤, 새콤달콤, 노랑, 오랜지, 싱그러움, 생기, 베르가뭇, 라임, 과일"
Accords_gourmand,"카라멜, 캐러멜, 캬라멜, 아몬드, 꿀, 마시멜로, 달콤, 달콤한,부드러운, 고소한, 고소,풍부한, 따뜻한, 묵직한, 묵직,유혹적인, 매혹적인, 유혹, 달달한, 달달,녹진한, 스파이시한, 풍미있는, 바닐라, 초콜릿, 과자"
Accords_oriental,"앰버, 머스크, 바닐라, 패츌리, 샌달우드, 따뜻한, 따뜻함, 이국적인, 관능적인, 풍부한, 매혹적인, 신비로운, 신비,깊은, 강렬한, 부드러운, 달콤쌉싸름, 어두운, 섹시, 묘함, 마성의 여성, 동양, 향료, 스파이시, 자극적, 개성적"
Accords_musk,"화이트머스크, 앰버, 샌달우드, 패츌리, 따뜻한, 따뜻, 부드러운, 포근한, 사향, 사향노루, 묵직함, 살냄새, 무거운향, 겨울, 섹시, 몽환적인, 베이스 노트"
Accords_fruity,"과일, 달콤한 향, 달콤, 귀여움, 관능적인, 과즙, 달콤한 과일, 복숭아, 무화과, 체리, 쥬시함, 가벼움, 산뜻함, 탑노트 "
Accords_woody,"샌달우드, 시더우드, 패츌리, 따뜻한, 따뜻, 건조한, 흙, 흙내나는, 깊은, 자연, 자연적인, 거친, 고급스러운, 부드러운, 고급, 묵직한, 풍부한, 숲, 숲내음, 나무소나무, 삼나무, 편백나무, 차분함, 나무, 흙, 따듯함, 중후함, 안정, 관능적, 풍부함"
Accords_spicy,"앰버, 머스크, 강렬한, 강렬, 매콤한, 매콤, 자극적인, 이국, 깊은, 톡쏘는, 매혹적인, 매혹, 매운, 쌉싸름한, 알싸함, 충격적인, 강하고 매운, 강함, 매운, 페퍼, 생강, 진저, 후추, 따뜻함, 충격적인"
Accords_floral,"로맨틱, 낭만, 장미, 목련, 우아, 부드러운, 달콤, 신선한, 낭만적인, 여성스러운, 상쾌한, 상쾌, 풍부, 섬세한, 가벼운, 화사한, 고급, 포근한꽃향, 꽃, 우아한, 고급스러움, 여성, 봄, 가을"
Accords_aquatic,"바다,비, 시원한, 바람, 시원한바람, 호수, 물방울, 상쾌한, 상쾌, 시원, 청량, 맑은, 신선한, 신선, 부드러운, 물, 비, 바다, 오션, 시원함, 상쾌함, 중성적인, 남성, 여성, 오션"
Accords_smoky,"불, 나무, 패츌리, 앰버, 따뜻한, 깊은, 건조한, 매혹적인, 흙내나는, 흙, 우디, 타는듯한, 동물적인, 자욱하다, 연기가 나다, 흐릿하다, 매캐하다, 그을리다, 자옥하다, 자우룩하다, 진하다, 짙다, 두껍다, 깊다, 아득하다, 옅다, 흐리다, 희미하다, 까마득하다, 가늘다, 맵싸하다, 매케하다, 싸하다, 맵다, 그슬리다, 훈작하다, 그슬리다"
Accords_leather,"고급, 고급스러움, 남성, 강인, 스모키, 우드, 머스크, 시더우드, 강렬한, 묵직한, 세련된, 남성적인, 깊은, 부드러운, 따뜻한, 풍부한, 스모키한, 단단한, 거친, 가죽, 레더, 나무, 담배, 포근한, 무거움, 중후함, 고급"
Accords_aromatic,"상쾌함, 신선함, 플로럴, 로즈마리, 상쾌한, 상쾌, 신선한, 신선, 강렬한, 강렬, 풍부한, 풍부, 깨끗한, 초록, 스파이시, 맑은, 허브향, 시원한, 건조한, 우디한, 톡 쏘는, 남성, 스파이시, 허브, 라벤더, 민트, 로즈마리"
love,"달콤한, 로맨틱한, 따뜻한, 사랑스러운, 부드러운, 감미로운, 애틋한, 열정적인, 그리워하다, 사모하다, 아끼다, 연모하다, 연애하다, 열애하다, 귀애하다, 귀여워하다, 경애하다, 좋아하다"
like,"선호, 호감, 애정, 좋아하는, 선호하는, 매력적인, 마음에 드는, 호감이 가는, 사랑스러운, 반기다, 사랑하다, 사모하다, 아끼다, 잘하다, 즐거워하다, 즐기다, 기뻐하다, 반가워하다, 가까이하다, 선호하다, 상호하다, 애호하다, 최호하다, 호색하다"
ok,"괜찮은, 만족스러운, 허락된, 양호한, 동의하는, 좋은, 낫다, 무난하다, 무방하다, 상관없다, 웬만하다, 좋다, 즐거워하다, 즐기다, 기뻐하다, 반가워하다, 가까이하다, 선호하다, 상호하다, 애호하다, 최호하다, 호색하다"
dislike,"거부, 싫어하는, 꺼리는, 거부하는, 무관심한, 대기하다, 멀리하다, 미워하다, 불호하다, 질색하다, 혐오하다, 혐의하다, 꺼리다, 낯가리다, 기피하다, 기혐하다"
hate,"미워하다, 염오하다, 혐오하다, 기오하다, 적개심, 격변, 적대감, 반목, 원한, 혐오, 반감, 적대감, 적개심, 원한"
winter,"시더우드, 샌달우드, 패츌리, 머스크, 앰버, 바닐라, 민트, 겨울철, 황량한, 추운, 서리가내린, 가혹한, 폭풍우, 북녘, 북극, 얼음, 동결, 눈, 얼음, 추위, 눈보라, 서리, 산타클로스, 크리스마스, 스키, 눈사람, 난로, 핫초코, 바람, 추운, 차가운, 쌀쌀한, 눈, 눈내리는 서늘한, 얼어붙는, 하얀, 맑은, 고요한, 상쾌한, 혹독한"
spring,"따뜻함 ,생기 ,봄, 꽃, 새싹, 따뜻함, 개나리, 벚꽃, 햇살, 미세먼지, 바람, 나비, 소풍, 산책, 따뜻한, 화사한, 상쾌한, 산뜻한, 부드러운, 신선한, 싱그러운, 햇살 가득한, 햇살, 생기넘치는, 화려한, 포근한, 초록, 초록빛의, 꽃의, 꽃향, 꽃향기, 맑은"
summer,"여름, 상쾌, 시원, 여름철, 더운, 덥다, 달콤, 열대적, 바다, 과일, 시트러스, 바다, 레몬, 자몽, 베르가뭇, 마린, 상쾌한, 시원한, 청량한, 가벼운, 열대적인, 땀나는, 땀, 산뜻한, 바람같은, 달콤한, 맑은, 탱글한, 활기찬,"
fall,"낙엽, 바람, 황금빛, 고구마, 밤, 스웨터, 하늘, 서늘한, 풍성한, 부드러운, 차분한, 건조한, 낭만적인, 로맨틱, 포근한, 가을, 머스크, 앰버, 패츌리, 샌달우드, 시더우드, 따뜻한, 단풍, 풍부한, 달콤한, 스파이시한, 우디, 쌀쌀한, 포근한, 건조한, 깊은, 부드러운, 고요한, 맑은, "
day,"밝은, 따뜻한, 화창한, 맑은, 따사로운, 선ㄴ명한, 더운, 눈부신, 청명한, 활동적인, 태양, 햇빛, 하늘, 구름, 정오, 아침, 점심, 산책, 활동, 밝음, 더위"
night,"어두운, 고요한, 차분한, 쌀쌀한, 조용한, 서늘한, 은은한, 깊은, 차가운, 낭만적인, 어스름한, 몽환적인, 신비로운, 달, 별, 어둠, 야경, 고요함, 밤하늘, 불빛, 수면, 별빛, 달빛, 수면, 새벽, 밤바람,암야, 야간, 야래, 야심, 혼야, 몰각, 밤중, 모야, 야간, 해질 무렵, 저녁, 황혼, 어두운, 일몰, 어둠, 취침, 잠"
review_rich,"풍부한, 풍부함, 호화로운, 다채로운, 진한, 깊이, 다양성, 호화, 강렬함, 넉넉하다, 걸다, 두둑하다, 많다, 족하다"
review_deep,"대단하다, 그윽하다, 강렬하다, 깊숙하다, 심각하다, 심하다, 두텁다, 아득하다, 오래다, 진하다"
review_glamorous,"찬란하다, 번화하다, 눈부시다, 사치스럽다, 호화롭다, 호화스럽다, 화사하다, 황홀하다"
review_excellent,"높다, 굉장하다, 놀랍다, 괜찮다, 눈부시다, 뛰어나다, 멋있다, 아름답다, 좋다, 크다"
review_sweet,"달달한, 달콤, 달콤한, 달달, 달금하다, 달다, 달짝지근하다, 달큼하다, 들큼하다, 달곰하다, 감미롭다, 아첨, 매혹적인, 쾌할, 진정, 설탕"
review_sophisticated,"능숙하다, 말쑥하다, 멋있다, 숙달되다, 고상하다, 고급스럽다"
review_cozy,"따뜻하다, 오붓하다, 조용하다, 편안하다, 따듯하다, 그윽하다, 친절, 편안, 단정, 집"
review_joyful,"유쾌하다, 좋다, 즐겁다, 행복하다, 흐뭇하다, 흔쾌하다, 흡족하다, 달다, 반갑다, 달갑다, 승리"
review_heavy,"묵직하다, 우울하다, 육중하다, 중대하다, 중하다, 크나크다, 둔하다, 느리다, 굼뜨다, 억센, 강력한, 상당한, 근육"
review_soft,"코지, 온화한, 유순한, 말랑한, 포근한, 순한, 연한, 가벼운, 차분한, 순조로운, 나긋나긋한, 유연한, 편안한, 자연스러운, 부드럽게, 부드러운, 부드럽게 퍼지는, 자연스럽게, 튀지 않게, 묵직하지 않은, 무겁지 않은, 섬세한"
review_fresh,"산뜻한, 시원한, 청량한, 깔끔한, 기분 좋은, 기분좋은, 맑은, 청쾌한, 신선한, 통쾌한, 환한, 활기찬, 깨끗한, 생기 있는, 생기있는, 활력 넘치는"
review_beautiful,"눈부신, 상냥한, 고운, 기특한, 갸륵한, 예쁜, 좋은, 친절한, 착한, 훌륭한, 화려한, 우아한, 매혹적인, 사랑스러운, 매력적인, 미려한, 아리따운, 고귀한, 우아한, 감동적인"
review_elegant,"고상한, 품위있는, 단아한, 세련된, 기품있는, 정갈한, 수려하다, 엘레강스한, 정중한, 아름다운, 고급스러운, 감각적인, 사치스러운"
review_warm,"따뜻한, 따뜻, 따뜻함, 따스한, 뜨거운, 따끈한, 따듯한, 다정한, 뜨끈한, 뜨듯한, 아늑한, 온화한, 정다운, 포근한, 훈훈한, 온기있는, 온정있는, 친근한, 따사로운"
review_clean,"맑은, 순결한, 깨끗한, 깔끔한, 정갈한, 청명한, 정결한, 청정한, 신선한, 순수한, 정화된, 신선한, 순수한, 정화된, 투명한, 결백한, 청초한"
review_unique,"독특한, 개성적, 개성적인, 독특, 특별, 뛰어난, 월등한, 색다른, 각별한, 유별난, 이상한, 특별한, 특이한, 희귀한, 비범한, 새로운, 기발한, 유니크한, 차별화된, 이색적인, 개성있는, 참신한, 독창적인, 비상한, 눈에 띄는"
review_light,"가벼운, 은은한, 일상적인, 개운한, 간단한, 간편한, 경솔한, 가뿐한, 경쾌한, 날쌘, 쉬운, 산뜻한, 경량의, 홀가분한, 부담없는, 수월한, 간편한, 여유로운"
review_good,"기쁜, 고운, 나은, 괜찮은, 건강한, 뛰어난, 반가운, 부드러운, 밝은, 훌륭한, 우수한, 멋진, 바람직한, 양호한, 긍정적인, 만족스러운, 매력적인, 즐거운, 좋은 느낌의, 행복한, 최고의"
review_amazing,"멋들어진, 멋거리진, 근사한, 멋있는, 우아한, 훌륭한, 아름다운, 매력적인, 굉장한, 끝내주는, 대단한, 돋보이는, 환상적인, 기막힌, 인상적인, 깜짝 놀랄만한, 놀라운, 어메이징한"
review_bright,"바른, 산뜻한, 맑은, 명량한, 공정한, 선명한, 싱싱한, 올바른, 좋은, 환한, 빛나는, 희망적인, 활기찬, 명쾌한, 선명한, 긍정적인, 밝은"
review_unusual,"특별, 다른, 독특한, 별난, 남다른, 별다른, 색다른, 뛰어난, 엉뚱한, 특별한, 비범한, 희귀한, 이상한, 색다른, 특이점이 있는, 차별화된, 이색적인, 기발한, 참신한, 평범하지 않은, 새로운, 신기한, 깜짝 놀랄만한, 놀라운"
review_dark,"우울, 어두운, 어두컴컴한, 깜깜한, 어둑어둑한, 둔한, 검은, 어둑한, 우중충한, 침침한, 캄캄한, 흐린, 그늘진, 음침한, 우울한, 묵직한, 심오한, 신비로운, 그윽한, 어두운 느낌의, 모호한, 침울한, 다크한, 깊은"
review_wealthy,"풍부한, 부한, 가멸찬, 풍요한, 풍유한, 여요한, 풍성한, 풍부한, 넉넉한, 여유로운, 호화로운, 부유한, 윤택한, 다채로운, 농밀한, 조화로운, 탐스러운, 배부른, 가득찬, 부자, 부내, 돈, 돈많은, 부자같은"
review_cold,"추운, 춥다, 쌀쌀한, 서느러운, 매서운, 서늘한, 사늘한, 냉담한, 싸늘한, 쌀쌀한, 으스스한, 추운, 찬, 냉랭한, 차가운 듯한, 시원한, 냉동의, 냉각된, 얼어붙은, 차디찬, 비정한, 무관심한, 냉정한, 차가운 느낌의, 침착한, 단호한, 소름끼치는, 시원한"
review_spicy,"매운, 자극, 매캐한, 독한, 매콤한, 매정한, 모진, 가혹한, 악독한, 얼근한, 얼얼한, 얼큰한, 신랄한, 강렬한, 아리삭한, 뜨거운, 화끈한, 짭짤한, 자극적인, 강한, 후끈한, 파격적인, 열렬한, 극적인, 격렬한, 톡쏘는, 에너제틱한, 스파이시한, 매운 느낌의"
review_bold,"강렬, 담찬, 담대한, 대담스러운, 낙락한, 대범한, 용감한, 과감한, 굳센, 호기로운, 확고한, 거침없는, 맹렬한, 당돌한, 과감한, 배짱있는, 무모한, 독창적인, 선명한, 다채로운, 도전적인, 두드러진, 기발한, 사로잡는, 도발적인, 눈길을 끄는, 강렬한, 모험적인, 자유로운, 용기있는, 주목받는, 선도적인, 대담무쌍한, 힘찬"
review_strong,"단단한, 센, 짙은, 튼튼한, 힘센, 힘찬, 강력한, 강인한, 강렬한, 톡 쏘는, 풍부한, 깊은, 세찬, 열정적인, 눈에 띄는, 인상적인, 명확한, 확연한, 두드러진, 확실한"